UID,day,session,position,paper_presentation,long_presentation,title,abstract,primary_author,authors_and_affil,authors,primary_subject,secondary_subject,SpecialTrack,abstract_short,StudentAuthor,StudentAuthor.1,AwardNominee,pdf_name,pdf_path,video,poster_pdf,thumbnail,slides_pdf,channel_url,slack_channel
147,1,2,6,Virtually,False,Learning Hierarchical Metrical Structure Beyond Measures,"Music contains hierarchical structures beyond beats and measures. While hierarchical structure annotations are helpful for music information retrieval and computer musicology, such annotations are scarce in current digital music databases. In this paper, we explore a data-driven approach to automatically extract hierarchical metrical structures from scores. We propose a new model with a Temporal Convolutional Network-Conditional Random Field (TCN-CRF) architecture. Given a symbolic music score, our model takes in an arbitrary number of voices in a beat-quantized form, and predicts a 4-level hierarchical metrical structure from downbeat-level to section-level. We also annotate a dataset using RWC-POP MIDI files to facilitate training and evaluation. We show by experiments that the proposed method performs better than the rule-based approach under different orchestration settings. We also perform some simple musicological analysis on the model predictions. All demos, datasets and pre-trained models are publicly available on Github.",Junyan Jiang,"Junyan Jiang (Music X Lab, NYU Shanghai, MBZUAI)*; Daniel Chin (Music X Lab, NYU Shanghai, MBZUAI); Yixiao Zhang (Music X Lab, NYU Shanghai, Centre for Digital Music, QMUL); Gus Xia (Music X Lab, NYU Shanghai, MBZUAI)","Jiang, Junyan*; Chin, Daniel; Zhang, Yixiao; Xia, Gus","Musical features and properties -> structure, segmentation, and form","Domain knowledge -> computational music theory and musicology; MIR fundamentals and methodology -> symbolic music processing; MIR tasks -> pattern matching and detection; Musical features and properties; Musical features and properties -> rhythm, beat, tempo",No,We propose a new data-driven TCN-CRF model to extract a 4-layer hierarchical metrical structure beyond measures from symbolic music.,Yes,No,No,000023.pdf,https://archives.ismir.net/ismir2022/paper/000023.pdf,https://drive.google.com/open?id=1jWSzDrSgqMBs91Mi0uRIGMR0BU3YuuNw,https://drive.google.com/open?id=1WBja87MuYEsYuAh2FtPfQzTL6aDNg2Hg,https://drive.google.com/open?id=1bJUUFdMLR9-GDKCyTxtNuIHzsSOZHav7,,https://slack.com/app_redirect?channel=C04D92GTCQG,p2-07-jiang
204,1,2,7,Virtually,False,Mid-level Harmonic Audio Features for Musical Style Classification,"The extraction of harmonic information from musical audio is fundamental for several music information retrieval tasks. In this paper, we propose novel harmonic audio features based on the perceptually-inspired tonal interval vector space, computed as the Fourier transform of chroma vectors. Our contribution includes mid-level features for musical dissonance, chromaticity, dyadicity, triadicity, diminished quality, diatonicity, and whole-toneness. Moreover, we quantify the perceptual relationship between short- and long-term harmonic structures, tonal dispersion, harmonic changes, and complexity. Beyond the computation on fixed-size windows, we propose a context-sensitive harmonic segmentation approach. We assess the robustness of the new harmonic features in style classification tasks regarding classical music periods and composers. Our results align with, slightly outperforming, existing features and suggest that other musical properties than those in state-of-the-art literature are partially captured. We discuss the features regarding their musical interpretation and compare the different feature groups regarding their effectiveness for discriminating classical music periods and composers.",Francisco C. F. Almeida,"Francisco C. F. Almeida (Univ. Porto, Faculty of Engineering & INESC TEC)*; Gilberto Bernardes (Univ. Porto, Faculty of Engineering & INESC TEC); Christof Weiss (International Audio Laboratories Erlangen)","Almeida, Francisco C. F.*; Bernardes, Gilberto; Weiss, Christof",Musical features and properties,"MIR fundamentals and methodology -> music signal processing; MIR tasks -> automatic classification; Musical features and properties -> harmony, chords and tonality; Musical features and properties -> musical style and genre",No,Perceptually-inspired mid-level harmonic features computed as the DFT of chroma vectors have shown to outperform existing style classification models of classical music periods and composers.,Yes,Yes,No,000024.pdf,https://archives.ismir.net/ismir2022/paper/000024.pdf,https://drive.google.com/open?id=1vc8HTUSlxOdplTBk3cIzHSyfxJa8hNEs,https://drive.google.com/open?id=1jm3Xip_D1P9V1Y4XFCuzEvYTL-1i6Qyj,https://drive.google.com/open?id=1b2UHoWcv9d8Bp5uC42rYmfW1MM87_6gW,,https://slack.com/app_redirect?channel=C04CCP3735L,p2-08-almeida
113,1,2,8,"In-person, in Bengaluru",False,Distortion Audio Effects: Learning How to Recover the Clean Signal,"Given the recent advances in music source separation and automatic mixing, removing audio effects in music tracks is a meaningful step toward developing an automated remixing system. This paper focuses on removing distortion audio effects applied to guitar tracks in music production. We explore whether effect removal can be solved by neural networks designed for source separation and audio effect modeling.
Our approach proves particularly effective for effects that mix the processed and clean signals. The models achieve better quality and significantly faster inference compared to state-of-the-art solutions based on sparse optimization. We demonstrate that the models are suitable not only for declipping but also for other types of distortion effects. By discussing the results, we stress the usefulness of multiple evaluation metrics to assess different aspects of reconstruction in distortion effect removal.",Giorgio Fabbro,"Johannes Imort (RWTH Aachen University, Germany); Giorgio Fabbro (Sony Europe B.V., Stuttgart, Germany)*; Marco A Martinez Ramirez (Sony Group Corporation, Tokyo, Japan); Stefan Uhlich (Sony Europe B.V., Stuttgart, Germany); Yuichiro Koyama (Sony Group Corporation, Tokyo, Japan); Yuki Mitsufuji (Sony Group Corporation, Tokyo, Japan)","Imort, Johannes; Fabbro, Giorgio*; Martinez Ramirez, Marco A; Uhlich, Stefan; Koyama, Yuichiro; Mitsufuji, Yuki",MIR fundamentals and methodology -> music signal processing,"Applications -> performance, and production; Domain knowledge -> machine learning/artificial intelligence for music; MIR tasks -> music synthesis and transformation; MIR tasks -> sound source separation",No,"Recovering the clean signal from clipped or overdriven guitar signals can be formulated as a filtering problem that can be solved efficiently with neural networks originally designed for source separation, achieving high quality and inference speed in contrast to previous solutions based on sparse optimization.",Yes,No,No,000025.pdf,https://archives.ismir.net/ismir2022/paper/000025.pdf,https://drive.google.com/open?id=16u1SK0_iqfzqbIvY1TlfQ_yWRG1yYJov,https://drive.google.com/open?id=14-dTdMOLibNXOCFe3UFUjgLlT9tGacJc,https://drive.google.com/open?id=1Kmlvn7_i2OpBDk_4OQV3D_w0gsUpAY5v,https://drive.google.com/open?id=1RGCm9Y9C5Q-tojlt8g-cJbM2kd7kMytn,https://slack.com/app_redirect?channel=C04C4QPMVK9,p2-09-imort
33,1,2,9,Virtually,False,End-to-End Full-Page Optical Music Recognition for Mensural Notation,"Optical Music Recognition (OMR) systems typically consider workflows that include several steps, such as staff detection, symbol recognition, and semantic reconstruction. However, fine-tuning these systems is costly due to the specific data labeling process that has to be performed to train models for each of these steps. In this paper, we present the first segmentation-free full-page OMR system that receives a page image and directly outputs the transcription in a single step. This model requires only the annotations of full score pages, which greatly alleviates the task of manual labeling. The model has been tested with early music written in mensural notation, for which the presented approach is especially beneficial. Results show that this methodology provides a solution with promising results and establishes a new line of research for holistic transcription of music score pages.",Antonio Ríos-Vila,"Antonio Ríos-Vila (U.I for Computer Research, University of Alicante, Spain)*; José M. Iñesta (U.I for Computer Research, University of Alicante, Spain); Jorge Calvo-Zaragoza (U.I for Computer Research, University of Alicante, Spain)","Ríos-Vila, Antonio*; Inesta, Jose M.; Calvo-Zaragoza, Jorge",MIR tasks -> optical music recognition,Domain knowledge -> machine learning/artificial intelligence for music; MIR tasks -> music transcription and annotation,No,This paper presents an evolution of the statee-of-the-art OMR recongition systems to segmentation-free end-to-end full music page transcriptions.,Yes,Yes,No,000026.pdf,https://archives.ismir.net/ismir2022/paper/000026.pdf,https://drive.google.com/open?id=1ChqPLzsVay8fH5Ve-E4FDbvWTFZnauyD,https://drive.google.com/open?id=1bqt_DrqYkabIYJiZ-pOOasCXEN6ZKXGu,https://drive.google.com/open?id=1bJg7r0R-M-_JaQby-2Ui4Ii70iBFPKUG,,https://slack.com/app_redirect?channel=C04CKB7SXH8,p2-10-ríos-vila
188,1,2,10,"In-person, in Bengaluru",False,Mel Spectrogram Inversion with Stable Pitch,"Vocoders are models capable of transforming a low-dimensional spectral representation of an audio signal, typically the mel spectrogram, to a waveform. Modern speech generation pipelines use a vocoder as their final component. Recent vocoder models developed for speech achieve high degree of realism, such that it is natural to wonder how they would perform on music signals. Compared to speech, the heterogeneity and structure of the musical sound texture offers new challenges. In this work we focus on one specific artifact that some vocoder models designed for speech tend to exhibit when applied to music: the perceived instability of pitch when synthesizing sustained notes. We argue that the characteristic sound of this artifact is due to the lack of horizontal phase coherence, which is often the result of using a time-domain target space with a model that is invariant to time-shifts, such as a convolutional neural network. 

We propose a new vocoder model that is specifically designed for music. Key to improving the pitch stability is the choice of a shift-invariant target space that consists of the magnitude spectrum and the phase gradient. We discuss the reasons that inspired us to re-formulate the vocoder task, outline a working example, and evaluate it on musical signals. Our method results in 60% and 10% improved reconstruction of sustained notes and chords with respect to existing models, 
using a novel harmonic error metric.",Bruno Di Giorgi,Bruno Di Giorgi (Apple)*; Mark Levy (Apple); Richard Sharp (Apple),"Di Giorgi, Bruno*; Levy, Mark; Sharp, Richard",MIR tasks -> music synthesis and transformation,MIR fundamentals and methodology -> music signal processing,No,"When inverting the Mel Spectrogram to audio, reconstruction of musical notes and chords can be improved by explicitly modelling the phase gradient spectrum.",No,Yes,No,000027.pdf,https://archives.ismir.net/ismir2022/paper/000027.pdf,https://drive.google.com/open?id=1A8OcItwfN9P0OKLQU122KjwNVDrjx0KK,https://drive.google.com/open?id=1jpiR9Y-p0POeWMv3pHDo723_kLmK7Wgb,https://drive.google.com/open?id=1TWl73QhOmqsG_OWF3x_3c295dZm0ZfCk,https://drive.google.com/open?id=1eSJQbz0xm1bmjMx4ZR-YnT9vdcaTryq1,https://slack.com/app_redirect?channel=C04CCP34MK8,p2-11-di-giorgi
119,1,2,11,Virtually,False,Latent feature augmentation for chorus detection,"In this paper, we introduce LA-Chorus, a chorus detection model based on latent feature augmentation and ResNet FPN architecture. Our contributions in LA-Chorus are three-fold. Firstly, we propose a method for implicitly augmenting chorus data in the latent space during the train7 ing stage. Compared to augmentations on audio surfaces such as time stretching and pitch shifting, latent augmentations indicate changes at a higher level in original audio, thereby increasing the diversity and sufficiency in training. Second, we apply Feature Pyramid Network (FPN) to generate additional embeddings from low dimension to high dimension, consequently achieving a multi-scale training paradigm. Lastly, we release Di-Chorus, a new open-source dataset of diverse genres and languages for the community of music structure analysis. In conjunction with other public datasets, we conduct comprehensive ex18 periments to evaluate the performance of LA-Chorus compared to other state-of-the-art models, which demonstrate the out-performance of LA-Chorus and the effectiveness of proposed latent feature augmentation.",Xingjian Du,Xingjian Du (ByteDance)*; Huidong Liang (ByteDance); Yuan Wan (ByteDance AI Lab); Yuheng Lin (ByteDance AI Lab); Ke Chen (University of California San Diego); Bilei Zhu (ByteDance AI Lab); Zejun Ma (Bytedance),"Du, Xingjian*; Liang, Huidong; Wan, Yuan; Lin, Yuheng; Chen, Ke; Zhu, Bilei; Ma, Zejun",MIR tasks -> music transcription and annotation,,No,LATENT FEATURE AUGMENTATION FOR CHORUS DETECTION,No,No,No,000028.pdf,https://archives.ismir.net/ismir2022/paper/000028.pdf,https://drive.google.com/open?id=1N9zeHi5tkvYKhjv0r16xgSBS5GzXW5bH,https://drive.google.com/open?id=1F5J93qfLB_enOWdzi3lGneBYrmVdAQCj,https://drive.google.com/open?id=1617ycXzfATdFwdsM-Y9uusY2gYN3H1wT,,https://slack.com/app_redirect?channel=C04CKB8Q2GJ,p2-12-du
218,1,2,12,Virtually,False,AccoMontage2: A Complete Harmonization and Accompaniment Arrangement System,"We propose AccoMontage2, a system capable of doing full-length song harmonization and accompaniment arrangement based on a lead melody. Following AccoMontage, this study focuses on generating piano arrangements for popular/folk songs and it carries on the generalized template-based retrieval method. The novelties of this study are twofold. First, we invent a harmonization module (which AccoMontage does not have). This module generates structured and coherent full-length chord progression by optimizing and balancing three loss terms: a micro-level loss for note-wise dissonance, a meso-level loss for phrase-template matching, and a macro-level loss for full piece coherency. Second, we develop a graphical user interface which allows users to select different styles of chord progression and piano texture. Currently, chord progression styles include Pop, R&B, and Dark, while piano texture styles include several levels of voicing density and rhythmic complexity. Experimental results show that both our harmonization and arrangement results significantly outperform the baselines. Lastly, we release AccoMontage2 as an online application as well as the organized chord progression templates as a public dataset. ",Li Yi,"Li Yi (Music X Lab, NYU Shanghai, MBZUAI)*; Haochen Hu (Music X Lab, NYU Shanghai, MBZUAI); Jingwei Zhao (Institute of Data Science, NUS); Gus Xia (Music X Lab, NYU Shanghai, MBZUAI)","Yi, Li*; Hu, Haochen; Zhao, Jingwei; Xia, Gus",MIR tasks,"Evaluation, datasets, and reproducibility -> evaluation methodology; Evaluation, datasets, and reproducibility -> MIR tasks; Human-centered MIR -> music interfaces and services; MIR tasks -> music generation; MIR tasks -> music synthesis and transformation",No,"We propose AccoMontage2, a system capable of doing full-length song harmonization and accompaniment arrangement based on a lead melody.",Yes,Yes,No,000029.pdf,https://archives.ismir.net/ismir2022/paper/000029.pdf,https://drive.google.com/open?id=1OF59ctqQTEilC-oSKuIscvN7FUVH-ghA,https://drive.google.com/open?id=1D_f5QafclHSYkfYDYibajD2JTiLF9Xly,https://drive.google.com/open?id=1QAHUKa6RmcjyHSpHhgnf9MOoGm43K3hx,,https://slack.com/app_redirect?channel=C04D92HF0QY,p2-13-yi
285,1,2,13,"In-person, in Bengaluru",False,Supervised and Unsupervised Learning of Audio Representations for Music Understanding,"In this work, we provide a broad comparative analysis of strategies for pre-training audio understanding models for several tasks in the music domain, including labelling of genre, era, origin, mood, instrumentation, key, pitch, vocal characteristics, tempo and sonority. Specifically, we explore how the domain of pre-training datasets (music or generic audio) and the pre-training methodology (supervised or unsupervised) affects the adequacy of the resulting audio embeddings for downstream tasks.

We show that models trained via supervised learning on large-scale expert-annotated music datasets achieve state-of-the-art performance in a wide range of music labelling tasks, each with novel content and vocabularies. This can be done in an efficient manner with models containing less than 100 million parameters that require no fine-tuning or reparameterization for downstream tasks, making this approach practical for industry-scale audio catalogs.

Within the class of unsupervised learning strategies, we show that the domain of the training dataset can significantly impact the performance of representations learned by the model. We find that restricting the domain of the pre-training dataset to music allows for training with smaller batch sizes while achieving state-of-the-art in unsupervised learning---and in some cases, supervised learning---for music understanding.

We also corroborate that, while achieving state-of-the-art performance on many tasks, supervised learning can cause models to specialize to the supervised information provided, somewhat compromising a model's generality.
",Matthew C McCallum,"Matthew C McCallum (SiriusXM, USA)*; Filip Korzeniowski (SiriusXM, USA); Sergio Oramas (SiriusXM, USA); Fabien Gouyon (SiriusXM, USA); Andreas Ehmann (SiriusXM, USA)","McCallum, Matthew C*; Korzeniowski, Filip; Oramas, Sergio; Gouyon, Fabien; Ehmann, Andreas",Musical features and properties -> representations of music,Applications -> digital libraries and archives; Applications -> music retrieval systems; Domain knowledge -> machine learning/artificial intelligence for music; Domain knowledge -> representations of music; MIR tasks -> automatic classification,No,"Audio representations learned from large-scale expert annotated music data achieve state-of-the-art performance for a wide range of music understanding / labelling tasks, furthermore, representations learned using unsupervised learning on the same set of audio achieves state-of-the-art performance for unsupervised and sometimes supervised learning. This is done in a method that is practical for application to industry-scale music catalogs.",No,Yes,No,000030.pdf,https://archives.ismir.net/ismir2022/paper/000030.pdf,https://drive.google.com/open?id=1z-1-ViOy301bJ-nrvqtdPe8LgdLIS-5A,https://drive.google.com/open?id=16LQ3MZJb4HZrbe6fPohKNkCBtar9ZXp4,https://drive.google.com/open?id=1ihOKFFuBiC0wc8ANilHWHhwfcly5c7fe,https://drive.google.com/open?id=1ZnxJLQgIV5j21aehIJHbdxrlmIgt-1ku,https://slack.com/app_redirect?channel=C04D92J316U,p2-14-mccallum
320,1,2,14,"In-person, in Bengaluru",False,Generating Coherent Drum Accompaniment with Fills and Improvisations,"Creating a complex work of art like music necessitates profound creativity. With recent advancements in Deep Learning and powerful models such as Transformers, there has been huge progress in automatic music generation. In an accompaniment generation context, creating a coherent drum pattern with apposite fills and improvisations at proper locations in a song is a challenging task even for an experienced drummer. Drum beats tend to follow a repetitive pattern through stanzas with fills/improvisation at section boundaries. In this work, we tackle the task of drum pattern generation conditioned on the accompanying music played by four melodic instruments – Piano, Guitar, Bass and Strings. We use the transformer sequence to sequence model to generate a basic drum pattern conditioned on the melodic accompaniment to find that improvisation is largely absent, attributed possibly to its relatively low representation in the training data. We propose a novelty function that represents the extent of improvisation in a specific bar relative to its neighbors. We train a model to detect improvisation positions from the melodic accompaniment tracks. Finally, we use a novel BERT inspired in-filling architecture, to learn the structure of both the drums and melody to in-fill elements of improvised music.",Rishabh A Dahale,"Rishabh A Dahale (Department of Electrical Engineering, Indian Institute of Technology Bombay, India)*; Vaibhav Vinayak Talwadker (Department of Electrical Engineering, Indian Institute of Technology Bombay, India); Preeti Rao (Department of Electrical Engineering, Indian Institute of Technology Bombay, India); Prateek Verma (Stanford University)","Dahale, Rishabh A*; Talwadker, Vaibhav Vinayak; Rao, Preeti; Verma, Prateek",MIR tasks -> music generation,"Musical features and properties -> structure, segmentation, and form",No,This paper highlights the drawbacks of language models in capturing rare but important musical events (drum fills and improvisations) and proposes a system to mitigate this issue.,Yes,No,No,000031.pdf,https://archives.ismir.net/ismir2022/paper/000031.pdf,https://drive.google.com/open?id=1aINKqGpGW86_tANRiw6zTH5iz9GbqTB6,https://drive.google.com/open?id=1L1Jz73TIk7MMWrwaOETWEjfJaOktROEY,https://drive.google.com/open?id=14M6XklTLCbkVR9I2hcstszVGEoaOAFty,https://docs.google.com/presentation/d/1W9phzb04iLpOd4wFUABpXXX73Ij1NL1s/edit?usp=sharing&ouid=106338110260173212503&rtpof=true&sd=true,https://slack.com/app_redirect?channel=C04CGCW7N4V,p2-15-dahale
231,1,2,15,"In-person, in Bengaluru",False,Bottlenecks and solutions for audio to score alignment research,"Although audio to score alignment is a classic Music Information Retrieval problem, it has not been defined uniquely with the scope of musical scenarios representing its core. The absence of a unified vision makes it difficult to pinpoint its state-of-the-art and determine directions for improvement. To get past this bottleneck, it is necessary to consolidate datasets and evaluation methodologies to allow comprehensive benchmarking. In our review of prior work, we demonstrate the extent of variation in problem scope, datasets, and evaluation practices across audio to score alignment research. To circumvent the high cost of creating large-scale datasets with various instruments, styles, performance conditions, and musician proficiency from scratch, the research community could generate ground truth approximations from non-audio to score alignment datasets which include a temporal mapping between a music score and its corresponding audio. We show a methodology for adapting the Aligned Scores and Performances dataset, created originally for beat tracking and music transcription. We filter the dataset semi- automatically by applying a set of Dynamic Time Warping based Audio to Score Alignment methods using out-of-the-box Chroma and Constant-Q Transform extraction algorithms, suitable for the characteristics of the piano performances of the dataset. We use the results to discuss the limitations of the generated ground truths and data adaptation method. While the adapted dataset does not provide the necessary diversity for solving the initial problem, we conclude with ideas for expansion, and identify future directions for curating more comprehensive datasets through data adaptation, or synthesis.",Alia Morsi,"Alia Morsi (Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain)*; Xavier Serra (Music Technology Group, Universitat Pompeu Fabra, Barcelona, Spain)","Morsi, Alia*; Serra, Xavier",MIR fundamentals and methodology -> music signal processing,"Domain knowledge -> representations of music; Evaluation, datasets, and reproducibility -> novel datasets and use cases; MIR tasks -> indexing and querying",No,"Current audio to score alignment (ASA) methods have reached a glass ceiling. We believe this is likely to remain unless a change occurs in how we define the problem and how we evaluate it, which would be possible with having varied data representing many practical ASA scenarios. We provide a use case of adapting the ASAP dataset to be used for ASA, and highlight how the generated weak alignments could be used to create further data to covering varied scenarios.",Yes,Yes,No,000032.pdf,https://archives.ismir.net/ismir2022/paper/000032.pdf,https://drive.google.com/open?id=1WyBwLn2_jKPDXXk8papoV2DcbBZV5O0u,https://drive.google.com/open?id=1gBfXdMY_HhoxT2BZ_IRikmQvTsbFkqc1,https://drive.google.com/open?id=1vvQDqpLXH_87yqXRYBSwQMwdnDWPYzOK,https://docs.google.com/presentation/d/1l7ZscAbAYGc2q-mwASJMna-mDAO4Lh6BJEAEu8XEySA/edit?usp=sharing,https://slack.com/app_redirect?channel=C04CMQX0LG4,p2-16-morsi
83,2,3,0,"In-person, in Bengaluru",True,Raga Classification From Vocal Performances Using Multimodal Analysis  ,"Work on musical gesture and embodied cognition suggests a rich complementarity between audio and movement information in musical performance. Pose estimation algorithms now make it possible (in contrast to Motion Capture)  to collect rich movement information from unconstrained performances of indefinite length. Vocal performances of Indian art music  offer the opportunity to carry out multimodal analysis using this information, combing musician’s body movements (i.e. pose and gesture data) with audio features. In this work we investigate raga identification from 12 s excerpts from a dataset of 3 singers and 9 ragas using the combination of audio and visual representations that are each semantically salient on their own.  While gesture based classification is relatively weak by itself, we show that combining latent representations from the pre-trained unimodal networks can surpass the already high performance obtained by audio features. ",Preeti Rao,"Martin Clayton (Department of Music, Durham University, United Kingdom); Preeti Rao (Department of Electrical Engineering, Indian Institute of Technology Bombay, India)*; Nithya Shikarpur (Department of Electrical Engineering, Indian Institute of Technology Bombay, India); Sujoy Roychowdhury (Department of Electrical Engineering, Indian Institute of Technology Bombay, India); Jin Li (Department of Music, Durham University, United Kingdom)","Clayton, Martin; Rao, Preeti*; Shikarpur, Nithya Nadig; Roychowdhury, Sujoy; Li, Jin",Domain knowledge -> computational ethnomusicology,"Evaluation, datasets, and reproducibility -> novel datasets and use cases; MIR tasks -> automatic classification",Yes,Vision based methods help exploit singer gestures to complement melody-based classification.,No,Yes,Yes,000033.pdf,https://archives.ismir.net/ismir2022/paper/000033.pdf,https://drive.google.com/open?id=11wQvhr8uswrb9_o_6im3M_ndtHk6p_Xl,https://drive.google.com/open?id=1g9Vo9_o7IBXIl1z_Jm5mGZ7HQG6csZBH,https://drive.google.com/open?id=1uEqTDoKqUYOrmWWqCZJte_fufywP83Ab,https://drive.google.com/open?id=1wSMKi9zpsJJd1zn0A1oRP7oI2IxffB2w,https://slack.com/app_redirect?channel=C04CY0M7ERF,p3-01-rao
165,2,3,1,"In-person, in Bengaluru",True,Traces of Globalization in Online Music Consumption Patterns and Results of Recommendation Algorithms,"Music streaming platforms allow users to enjoy music from all over the globe.
Such opportunity speeds up cultural exchange between different countries, a process often associated with globalization. While such an exchange could lead to more diverse music consumption, empirical evidence on its influence on online music consumption is limited. Besides, the extent to which music recommender systems foster exchange or amplify globalization in music remains an understudied problem.

In this paper, we present findings from an empirical study to detect traces of globalization in domestic vs. foreign online music consumption. Besides, we investigate if popular recommendation algorithms, specifically ItemKNN and 
NeuMF, are prone to amplifying globalization processes. Our experiments on Last.fm listening data show nuanced patterns of globalization in music consumption. We observe a strong position of US music in all considered countries. In countries such as Sweden, Great Britain, or Brazil, US music shows various levels of coexistence with domestic music. We find that Finland is least influenced by US music, while greatly consuming and 'exporting' domestic music.  With respect to recommendation algorithms, ItemKNN tends to recommend domestic music to users of many countries, while NeuMF contributes to accelerating globalization and shifting balance towards dominance of US music on the market.",Oleg Lesota,Oleg Lesota (Johannes Kepler University)*; Emilia Parada-Cabaleiro (Johannes Kepler University Linz); Stefan Brandl (Johannes Kepler University Linz); Elisabeth Lex (TU Graz); Navid Rekabsaz (JKU); Markus Schedl (Johannes Kepler University Linz),"Lesota, Oleg*; Parada-Cabaleiro, Emilia; Lex, Elisabeth; Rekabsaz, Navid; Brandl, Stefan; Schedl, Markus",Human-centered MIR -> user behavior analysis and mining,Applications -> music recommendation and playlist generation; Philosophical and ethical discussions -> legal and societal aspects of MIR,Yes,"Globalization patterns of online music consumption are not homogeneous across countries, music recommender systems contribute to cultural globalization.",Yes,No,Yes,000034.pdf,https://archives.ismir.net/ismir2022/paper/000034.pdf,https://drive.google.com/open?id=1LXaANmzwMqXYUMtuA1hfHrdT-lBs056n,https://drive.google.com/open?id=11NiZccrqg7WmNy7IQcJiuAzGoq-WpZYp,https://drive.google.com/open?id=1-8zl2BbnZs3HrkLEymXn3loWxzdLGMHX,https://drive.google.com/open?id=16jgSQyC7XFfkWYKNb_jgKPYvWeHMN4hF,https://slack.com/app_redirect?channel=C04D92H4F96,p3-02-lesota
303,2,3,2,Virtually,False,Network Analyses for Cross-Cultural Music Popularity,"Anglo-American popular culture has been said to be intricately connected to global popular culture, both shaping and being shaped by popular trends worldwide, yet few research has examined this issue empirically. Our research quantitatively maps the extent of these cultural influences in popular music consumption, by using network analyses to explore cross-cultural popularity in music from 30 countries corresponding to 6 cultural regions (N = 4863 unique songs over six timepoints from 2019-2021). Using Top100 charts from these countries, we constructed a network based on the co-occurrence of songs in charts, and used eigencentrality as an indicator of cross-cultural song popularity. We then compared the country-of-origin of the artists, arousal music features, and socioeconomic indicators. Songs from artists with Anglo-American backgrounds tended to have higher eigencentrality overall, and mixed effects regressions showed that eigencentrality was negatively associated with danceability, and positively associated with spectral energy, and the migrant population of the country (of the charts). Next, using community detection, we observed 11 separate 'communities' in the network. Most communities appeared to be limited by region/culture, but Anglo-American music seemed disproportionally able to transcend cultural boundaries far beyond their geographical borders. We also discuss implications pertaining to cultural hegemony, and the effectiveness of our method in estimating cross-cultural popularity.",Kongmeng Liew,Kongmeng Liew (Nara Institute of Science and Technology)*; Vipul Mishra (Nara Institute of Science and Technology); Yangyang Zhou (Nara Institute of Science and Technology); Elena V. Epure (Deezer Research); Romain Hennequin (Deezer Research); Shoko Wakamiya (Nara Institute of Science and Technology); Eiji Aramaki (Nara Institute of Science and Technology),"Liew, Kongmeng*; Mishra, Vipul; Zhou, Yangyang; Epure, Elena V.; Hennequin, Romain; Wakamiya, Shoko; Aramaki, Eiji",Domain knowledge -> computational music theory and musicology,Applications -> digital libraries and archives; Domain knowledge -> computational ethnomusicology; Philosophical and ethical discussions -> legal and societal aspects of MIR,Yes,"We quantify the pervasiveness of Anglo-American music in Top100 charts from 100 countries, and look at correlates from socio-economic indicators and simple MIR-based arousal features.",No,No,No,000035.pdf,https://archives.ismir.net/ismir2022/paper/000035.pdf,https://drive.google.com/open?id=1lvSF-lwH7TjyzsdlMVvqzHAIVOKaNFXQ,https://drive.google.com/open?id=1tY74PkqPSXwcUAlSyhhEZgzsTWshZqqi,https://drive.google.com/open?id=1JcFbhDCb5H7fqktu7HJngVEiausZ7f_i,,https://slack.com/app_redirect?channel=C04CCP41U0N,p3-03-liew
51,2,3,3,Virtually,False,Three related corpora in Middle Byzantine music notation and a preliminary comparative analysis,"The Middle Byzantine notation (MBn) is used to capture the plainchant melodies of eastern Orthodox Christian music from the middle of the 12th century until 1814. In the context of this research, we study the evolution of a subgenre of Byzantine music known as Heirmologic. We present three Heirmologic corpora spanning the periods before, during and after the 16th century. We discuss the challenges we faced during the digitisation process, and the steps we took to overcome them. For the analysis of the three corpora, we apply the three methods, namely notational texture, melodic arch similarity, and Jensen-Shannon distances of Markovian models, the second of which is novel and inspired by the idea of melodic arches. Through these methods, we aim at highlighting the differences of the corpora in order to obtain an outline of the evolution of the subgenre. We observe that the post 16th century Heirmologic pieces are more similar to the 16th century ones, while there is a greater difference with the pre 16th century pieces. This indicates that the 16th century constitutes a turning point in the melodic features of the Heirmologic subgenre.",Polykarpos Polykarpidis,Polykarpos Polykarpidis (National and Kapodistrian University of Athens)*; DIONYSIOS KALOFONOS (Independent researcher); Dimitrios Balageorgos (National and Kapodistrian University of Athens); Christina Anagnostopoulou (National and Kapodistrian University of Athens),"Polykarpidis, Polykarpos*; KALOFONOS, DIONYSIOS; Balageorgos, Dimitrios; Anagnostopoulou, Christina","Evaluation, datasets, and reproducibility -> novel datasets and use cases",Domain knowledge -> computational ethnomusicology; Domain knowledge -> computational music theory and musicology; MIR fundamentals and methodology -> symbolic music processing; MIR tasks -> similarity metrics; Musical features and properties -> representations of music,Yes,A novel dataset in Middle Byzantine music notation.,Yes,Yes,No,000036.pdf,https://archives.ismir.net/ismir2022/paper/000036.pdf,https://drive.google.com/open?id=11_bDg_L2_UVMJ8-B9gNf_bKwoapY_s2W,https://drive.google.com/open?id=12jRG0khHbiWj4JmVlUefVw_4r3vvzfCu,https://drive.google.com/open?id=1_0B0WZi06iQa7m_LULRcvn0F9rEFY7b4,,https://slack.com/app_redirect?channel=C04CY0LRXKK,p3-04-polykarpidis
